Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,154.3,1,1,4.7
Accessories,Caribbean,315.6,0,0,-1.4
Accessories,Central Africa,311.3,0,1,3.6
Accessories,Central America,662.2,0,1,2.1
Accessories,Central Asia,463.9,0,1,2.6
Accessories,East Africa,519.1,1,0,-1.0
Accessories,East of USA,301.1,0,1,5.1
Accessories,Eastern Asia,261.0,0,0,-0.6
Accessories,Eastern Europe,221.2,0,1,1.6
Accessories,North Africa,326.9,1,0,-0.9
As Seen on  TV!,Canada,380.5,0,1,3.6
As Seen on  TV!,Caribbean,421.3,0,1,4.8
As Seen on  TV!,Central Africa,442.2,1,1,4.2
As Seen on  TV!,Central America,479.4,1,1,3.7
As Seen on  TV!,Central Asia,348.7,1,1,1.2
As Seen on  TV!,East Africa,639.8,1,1,3.0
As Seen on  TV!,East of USA,557.1,0,1,1.4
As Seen on  TV!,Eastern Asia,364.3,0,1,3.6
As Seen on  TV!,Eastern Europe,374.8,1,1,1.8
As Seen on  TV!,North Africa,633.8,1,1,4.8
Baby ,Canada,589.3,1,1,4.6
Baby ,Caribbean,699.7,0,1,1.8
Baby ,Central Africa,631.7,0,1,3.8
Baby ,Central America,393.3,1,1,3.0
Baby ,Central Asia,513.5,1,0,-0.3
Baby ,East Africa,331.8,1,1,4.3
Baby ,East of USA,670.8,0,1,3.7
Baby ,Eastern Asia,691.2,0,1,4.0
Baby ,Eastern Europe,636.1,0,0,-0.1
Baby ,North Africa,309.2,1,1,4.2
Baseball & Softball,Canada,186.4,1,0,-1.9
Baseball & Softball,Caribbean,389.8,0,1,5.1
Baseball & Softball,Central Africa,493.3,0,0,-1.7
Baseball & Softball,Central America,429.8,0,0,-1.2
Baseball & Softball,Central Asia,504.7,0,1,2.1
Baseball & Softball,East Africa,707.9,0,1,2.5
Baseball & Softball,East of USA,458.7,1,1,1.7
Baseball & Softball,Eastern Asia,611.9,0,1,1.6
Baseball & Softball,Eastern Europe,311.4,1,1,1.5
Baseball & Softball,North Africa,446.5,1,0,-0.3
Basketball,Canada,442.3,1,1,4.7
Basketball,Caribbean,319.9,1,1,2.6
Basketball,Central Africa,659.5,1,0,-1.0
Basketball,Central America,518.0,0,0,-0.4
Basketball,Central Asia,696.8,0,0,-0.1
Basketball,East Africa,312.8,0,0,-1.8
Basketball,East of USA,183.9,1,0,-1.7
Basketball,Eastern Asia,161.3,0,0,-0.5
Basketball,Eastern Europe,636.2,0,0,-1.5
Basketball,North Africa,278.3,1,0,-2.0
Books ,Canada,441.8,1,1,4.4
Books ,Caribbean,258.5,0,1,4.3
Books ,Central Africa,450.6,1,1,1.7
Books ,Central America,653.4,1,1,4.9
Books ,Central Asia,568.4,0,1,1.6
Books ,East Africa,267.1,1,1,4.7
Books ,East of USA,524.5,1,1,3.3
Books ,Eastern Asia,518.5,1,0,-0.4
Books ,Eastern Europe,175.4,1,0,-1.7
Books ,North Africa,649.0,0,0,-0.0
Boxing & MMA,Canada,517.3,0,1,2.8
Boxing & MMA,Caribbean,551.5,0,1,3.5
Boxing & MMA,Central Africa,299.9,0,1,4.2
Boxing & MMA,Central America,691.1,0,0,-1.5
Boxing & MMA,Central Asia,487.0,0,1,3.3
Boxing & MMA,East Africa,189.4,0,1,5.3
Boxing & MMA,East of USA,434.1,1,1,4.7
Boxing & MMA,Eastern Asia,514.6,0,1,4.7
Boxing & MMA,Eastern Europe,576.3,1,0,-1.7
Boxing & MMA,North Africa,679.4,1,1,1.5
CDs ,Canada,558.9,1,1,1.8
CDs ,Caribbean,503.2,1,1,2.6
CDs ,Central Africa,421.2,1,0,-0.1
CDs ,Central America,346.4,1,0,-1.7
CDs ,Central Asia,532.8,0,0,-0.2
CDs ,East Africa,153.2,0,1,2.5
CDs ,East of USA,461.3,1,1,2.7
CDs ,Eastern Asia,702.2,1,1,3.7
CDs ,Eastern Europe,570.5,1,0,-0.2
CDs ,North Africa,671.3,0,1,4.1
Cameras ,Canada,465.6,0,1,1.4
Cameras ,Caribbean,509.3,0,0,-2.0
Cameras ,Central Africa,422.6,0,0,-0.2
Cameras ,Central America,617.9,0,1,2.8
Cameras ,Central Asia,498.8,0,0,-1.7
Cameras ,East Africa,377.9,1,1,2.6
Cameras ,East of USA,461.2,0,0,-0.2
Cameras ,Eastern Asia,249.2,1,0,-1.6
Cameras ,Eastern Europe,444.1,1,0,-2.0
Cameras ,North Africa,270.7,1,0,-1.9
Camping & Hiking,Canada,505.6,0,0,-0.3
Camping & Hiking,Caribbean,531.4,0,1,4.4
Camping & Hiking,Central Africa,198.2,1,1,1.5
Camping & Hiking,Central America,540.2,0,0,-0.2
Camping & Hiking,Central Asia,209.4,0,0,-1.4
Camping & Hiking,East Africa,678.5,0,1,4.7
Camping & Hiking,East of USA,653.3,0,1,4.8
Camping & Hiking,Eastern Asia,614.9,1,0,-1.7
Camping & Hiking,Eastern Europe,360.8,0,0,-0.7
Camping & Hiking,North Africa,657.2,1,1,1.9
Cardio Equipment,Canada,517.4,1,1,2.4
Cardio Equipment,Caribbean,645.6,0,1,1.9
Cardio Equipment,Central Africa,606.5,1,1,5.3
Cardio Equipment,Central America,581.5,0,0,-0.4
Cardio Equipment,Central Asia,408.7,0,0,-1.4
Cardio Equipment,East Africa,598.2,1,1,2.1
Cardio Equipment,East of USA,591.2,0,0,-0.0
Cardio Equipment,Eastern Asia,179.9,1,1,4.5
Cardio Equipment,Eastern Europe,450.2,0,1,5.1
Cardio Equipment,North Africa,665.7,1,1,5.4
Children's Clothing,Canada,328.9,1,1,4.3
Children's Clothing,Caribbean,364.4,1,1,4.0
Children's Clothing,Central Africa,480.4,0,0,-1.5
Children's Clothing,Central America,214.1,0,1,3.1
Children's Clothing,Central Asia,683.0,1,0,-0.5
Children's Clothing,East Africa,350.3,0,1,5.5
Children's Clothing,East of USA,699.9,1,0,-2.0
Children's Clothing,Eastern Asia,451.9,0,1,4.2
Children's Clothing,Eastern Europe,420.2,1,1,1.7
Children's Clothing,North Africa,170.5,0,0,-1.8
Cleats,Canada,686.9,1,0,-1.3
Cleats,Caribbean,547.3,1,1,3.0
Cleats,Central Africa,546.1,0,0,-1.8
Cleats,Central America,213.9,1,1,4.0
Cleats,Central Asia,655.6,1,1,1.9
Cleats,East Africa,515.6,1,1,3.5
Cleats,East of USA,171.8,0,0,-2.0
Cleats,Eastern Asia,647.0,1,0,-1.6
Cleats,Eastern Europe,608.9,0,1,4.7
Cleats,North Africa,432.7,0,1,4.7
Computers,Canada,608.6,0,1,3.0
Computers,Caribbean,153.6,1,1,2.4
Computers,Central Africa,690.5,0,1,3.3
Computers,Central America,305.4,0,0,-1.6
Computers,Central Asia,376.5,0,1,1.5
Computers,East Africa,470.9,1,0,-1.6
Computers,East of USA,243.4,1,1,5.0
Computers,Eastern Asia,268.6,1,1,1.8
Computers,Eastern Europe,273.1,0,1,2.7
Computers,North Africa,578.8,0,1,4.4
Consumer Electronics,Canada,173.3,1,0,-0.7
Consumer Electronics,Caribbean,297.2,1,1,3.7
Consumer Electronics,Central Africa,331.9,1,0,-0.3
Consumer Electronics,Central America,413.1,1,1,5.0
