saved_at,forecast_period,overall_confidence,category,region,order_count,predicted_demand,predicted_revenue,combined_risk,demand_risk,supplier_risk,logistics_risk
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Boxing & MMA,Western Europe,8,26.0,2388.49,1.4075,3.0976,0.625,0.5
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Shop By Sport,Western Europe,198,606.0,25213.33,1.3657,2.9861,0.3434,0.7677
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cleats,Western Europe,446,1294.0,93642.49,1.3631,2.9527,0.3587,0.778
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Women's Apparel,Western Europe,351,1094.0,54700.0,1.3617,2.9739,0.339,0.7721
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cardio Equipment,Western Europe,227,663.0,66293.37,1.3502,2.9493,0.326,0.7753
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Indoor/Outdoor Games,Western Europe,316,873.0,43632.54,1.337,2.9603,0.3386,0.712
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Shoes,Western Europe,5,16.0,1561.6,1.3288,2.9863,0.2,0.8
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Indoor/Outdoor Games,Northern Europe,105,324.0,16193.52,1.3214,2.9451,0.3905,0.6286
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Shop By Sport,Northern Europe,57,173.0,6918.27,1.3121,2.9713,0.3333,0.6316
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cleats,Northern Europe,147,436.0,29714.82,1.3112,2.9677,0.2789,0.6871
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cleats,Southern Europe,137,378.0,27973.74,1.2992,2.9632,0.4672,0.4672
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cardio Equipment,Northern Europe,83,222.0,22197.78,1.2903,2.9431,0.3253,0.6024
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Women's Apparel,Southern Europe,134,401.0,20050.0,1.2879,2.9532,0.3433,0.5672
