saved_at,period,category,region,predicted_demand,actual_demand,variance,responsible_agent,risk_level,late_delivery_rate,reason,root_cause
2026-09-17T01:50:22.410169+00:00,2017-11,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:50:22.410169+00:00,2017-11,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
