order date (DateOrders),Order Item Id,Department Name,Category Name,Order Region,Market,Shipping Mode,Days for shipment (scheduled),Days for shipping (real),Order Item Quantity,Order Item Product Price,Order Item Discount,Product Card Id,Late_delivery_risk
04/01/2018 00:00,39740349,Fitness,Women's Apparel,West Asia,Africa,Second Class,2,5,1,139.33,0.125,1503,1
04/01/2018 00:00,39740350,Technology,Cardio Equipment,Eastern Asia,Africa,Standard Class,5,8,2,191.32,0.099,1242,1
04/01/2018 00:00,39740351,Fan Shop,Water Sports,Central America,LATAM,Standard Class,5,8,3,51.22,0.092,1990,1
04/01/2018 00:00,39740352,Health and Beauty,Fishing,Eastern Europe,Pacific Asia,Standard Class,4,7,2,157.63,0.159,1140,1
04/01/2018 00:00,39740353,Health and Beauty,Camping & Hiking,Southeast Asia,Pacific Asia,Same Day,1,4,1,154.51,0.1,1826,1
04/01/2018 00:00,39740354,Fan Shop,Water Sports,Central America,Pacific Asia,First Class,1,4,4,116.73,0.162,1667,1
04/01/2018 00:00,39740355,Pet Shop,Cardio Equipment,Oceania,Pacific Asia,Standard Class,5,6,1,121.05,0.167,1660,1
04/01/2018 00:00,39740356,Fitness,Camping & Hiking,Eastern Europe,Pacific Asia,Same Day,0,2,4,139.56,0.056,1856,1
04/01/2018 00:00,39740357,Health and Beauty,Women's Apparel,North America,Pacific Asia,First Class,1,0,1,152.53,0.177,1626,0
04/01/2018 00:00,39740358,Technology,Women's Apparel,West Asia,Africa,First Class,1,4,1,90.97,0.043,1058,1
04/01/2018 00:00,39740359,Toy Store,Electronics,North America,USCA,Same Day,1,4,2,90.32,0.009,1582,1
04/01/2018 00:00,39740360,Outdoors,Cardio Equipment,Eastern Asia,Europe,Second Class,2,4,1,178.85,0.092,1151,1
04/01/2018 00:00,39740361,Golf Shop,Fishing,North America,LATAM,Standard Class,4,7,1,55.21,0.061,1310,1
04/01/2018 00:00,39740362,Fitness,Strength Training,West Asia,LATAM,Second Class,2,1,1,101.83,0.019,1893,0
04/01/2018 00:00,39740363,Fitness,Electronics,Eastern Asia,Pacific Asia,Same Day,0,0,1,106.01,0.178,1966,0
04/01/2018 00:00,39740364,Fitness,Strength Training,South America,USCA,Second Class,2,5,2,114.11,0.229,1432,1
04/01/2018 00:00,39740365,Health and Beauty,Water Sports,Central America,Pacific Asia,Same Day,0,3,4,169.18,0.15,1880,1
04/01/2018 00:00,39740366,Technology,Women's Apparel,West Africa,USCA,First Class,1,3,1,25.84,0.176,1685,1
04/01/2018 00:00,39740367,Outdoors,Electronics,Western Europe,Africa,Standard Class,4,5,1,103.23,0.03,1583,1
04/01/2018 00:00,39740368,Footwear,Indoor/Outdoor Games,Oceania,LATAM,Second Class,3,6,1,77.58,0.216,1290,1
