Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,181.0,0,0,-0.7
Accessories,Caribbean,162.8,0,0,-1.3
Accessories,Central Africa,398.7,0,0,-1.9
Accessories,Central America,417.3,0,0,-0.2
Accessories,Central Asia,545.8,0,0,-0.3
Accessories,East Africa,301.5,1,1,2.3
Accessories,East of USA,560.5,0,0,-1.6
Accessories,Eastern Asia,612.5,0,0,-0.3
Accessories,Eastern Europe,405.5,1,1,2.1
Accessories,North Africa,655.4,0,1,5.3
As Seen on  TV!,Canada,224.7,1,0,-1.9
As Seen on  TV!,Caribbean,511.8,1,0,-1.5
As Seen on  TV!,Central Africa,502.1,0,1,4.8
As Seen on  TV!,Central America,606.0,0,0,-0.4
As Seen on  TV!,Central Asia,531.6,0,0,-1.9
As Seen on  TV!,East Africa,353.6,1,0,-2.0
As Seen on  TV!,East of USA,624.8,0,1,3.7
As Seen on  TV!,Eastern Asia,203.2,0,1,3.8
As Seen on  TV!,Eastern Europe,633.7,1,0,-0.8
As Seen on  TV!,North Africa,469.8,1,0,-1.4
Baby ,Canada,427.0,0,0,-0.5
Baby ,Caribbean,381.6,0,1,2.0
Baby ,Central Africa,459.6,0,0,-0.4
Baby ,Central America,403.5,0,0,-0.7
Baby ,Central Asia,288.3,1,0,-0.6
Baby ,East Africa,647.1,0,1,3.7
Baby ,East of USA,440.4,1,1,2.7
Baby ,Eastern Asia,279.2,1,1,3.6
Baby ,Eastern Europe,462.3,0,1,2.6
Baby ,North Africa,418.4,0,0,-0.8
Baseball & Softball,Canada,191.6,0,1,2.0
Baseball & Softball,Caribbean,189.2,0,0,-0.5
Baseball & Softball,Central Africa,603.6,1,0,-1.9
Baseball & Softball,Central America,630.4,0,1,5.1
Baseball & Softball,Central Asia,318.7,0,0,-0.5
Baseball & Softball,East Africa,504.5,1,1,2.1
Baseball & Softball,East of USA,608.1,1,0,-0.3
Baseball & Softball,Eastern Asia,146.7,0,0,-0.8
Baseball & Softball,Eastern Europe,250.4,0,0,-0.4
Baseball & Softball,North Africa,561.9,0,1,4.2
Basketball,Canada,454.1,0,0,-0.6
Basketball,Caribbean,251.0,0,0,-1.9
Basketball,Central Africa,656.3,0,0,-0.7
Basketball,Central America,205.4,0,1,4.1
Basketball,Central Asia,208.9,0,0,-0.6
Basketball,East Africa,622.2,1,1,5.4
Basketball,East of USA,249.3,1,1,4.0
Basketball,Eastern Asia,353.6,1,1,3.5
Basketball,Eastern Europe,491.1,0,0,-0.3
Basketball,North Africa,619.4,1,0,-0.4
Books ,Canada,279.7,0,1,5.0
Books ,Caribbean,346.7,0,0,-1.5
Books ,Central Africa,145.0,0,1,4.0
Books ,Central America,164.5,1,1,2.0
Books ,Central Asia,362.9,0,0,-1.4
Books ,East Africa,180.5,0,0,-1.8
Books ,East of USA,374.9,0,0,-1.6
Books ,Eastern Asia,662.9,0,1,3.6
Books ,Eastern Europe,354.6,0,1,5.4
Books ,North Africa,109.0,0,1,4.1
Boxing & MMA,Canada,404.9,1,1,1.5
Boxing & MMA,Caribbean,157.2,1,0,-1.5
